Years;Months;ENEB
1986;1;37,40126294
1986;2;86,97173913
1986;3;180,847663
1986;4;167,7954915
1986;5;197,8091423
1986;6;142,7841508
1986;7;151,8044514
1986;8;89,65567995
1986;9;80,8219798
1986;10;62,26805556
1986;11;70,25375
1986;12;37,12306548
1987;1;36,87951722
1987;2;51,15076803
1987;3;129,7458039
1987;4;131,5021126
1987;5;67,48672851
1987;6;150,939424
1987;7;140,0728486
1987;8;71,88931606
1987;9;20,4630772
1987;10;12,50279762
1987;11;11,52238095
1987;12;9,39457237
1988;1;27,28519904
1988;2;37,80337662
1988;3;148,4779356
1988;4;169,8921468
1988;5;106,6246889
1988;6;181,613144
1988;7;224,7104141
1988;8;78,24344822
1988;9;43,23987365
1988;10;24,04813797
1988;11;43,33962704
1988;12;65,52022833
1989;1;41,92942102
1989;2;21,81873016
1989;3;92,84359217
1989;4;225,3483202
1989;5;225,857475
1989;6;154,7030493
1989;7;214,6011255
1989;8;87,90865622
1989;9;67,17277778
1989;10;48,54958334
1989;11;31,5164361
1989;12;125,9708807
1990;1;25,73345729
1990;2;39,94841667
1990;3;26,85404412
1990;4;110,2421454
1990;5;86,42072917
1990;6;105,8329365
1990;7;137,49425
1990;8;102,8126417
1990;9;41,64609789
1990;10;40,6335431
1990;11;22,05641946
1990;12;17,42683782
1991;1;23,10162495
1991;2;28,273
1991;3;91,2522096
1991;4;87,24619305
1991;5;193,052203
1991;6;149,5209586
1991;7;98,45818182
1991;8;115,0216931
1991;9;30,38214498
1991;10;25,59081996
1991;11;36,29799659
1991;12;18,795625
1992;1;107,5847826
1992;2;125,4324432
1992;3;145,5942752
1992;4;81,58338205
1992;5;57,15434896
1992;6;140,5874479
1992;7;124,7225
1992;8;55,74377976
1992;9;62,31909722
1992;10;13,12177318
1992;11;27,15199805
1992;12;32,18470395
1993;1;14,69094475
1993;2;17,61007936
1993;3;22,00103978
1993;4;54,08502328
1993;5;60,01467732
1993;6;115,848806
1993;7;112,7478148
1993;8;66,42610694
1993;9;331,606096
1993;10;76,43682456
1993;11;31,39259259
1993;12;15,2377121
1994;1;27,41226157
1994;2;51,1970625
1994;3;94,84010417
1994;4;89,72675272
1994;5;149,9904167
1994;6;270,0295834
1994;7;184,8758226
1994;8;60,97861059
1994;9;59,52624552
1994;10;18,29514714
1994;11;8,977941176
1994;12;24,15760417
1995;1;18,50083667
1995;2;36,90010417
1995;3;53,88635417
1995;4;122,0864907
1995;5;130,5495784
1995;6;172,6114336
1995;7;154,4847768
1995;8;54,81450184
1995;9;27,62429729
1995;10;6,397565711
1995;11;56,08521826
1995;12;9,53425979
1996;1;25,88087892
1996;2;24,03227343
1996;3;64,91605543
1996;4;228,5663294
1996;5;106,663252
1996;6;140,3409434
1996;7;116,6171429
1996;8;122,5344927
1996;9;43,50341355
1996;10;26,96219918
1996;11;67,4703277
1996;12;18,43134121
1997;1;60,65584051
1997;2;67,5334255
1997;3;137,1536898
1997;4;165,6287718
1997;5;207,2862935
1997;6;93,82911546
1997;7;116,8306605
1997;8;76,7028491
1997;9;10,41837389
1997;10;7,115809012
1997;11;11,58166667
1997;12;33,806226
1998;1;32,01943899
1998;2;16,02412903
1998;3;45,83911626
1998;4;55,30327256
1998;5;92,90385203
1998;6;143,0557246
1998;7;137,8183431
1998;8;81,26635595
1998;9;22,96076165
1998;10;16,81368421
1998;11;6,004166667
1998;12;14,7137829
1999;1;20,85615942
1999;2;39,1555
1999;3;40,08854343
